epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1162,1.11777,8.29012,1.01346,0.00074,0.13189,0.00074,0.00063,0.6978,7.47591,0.91269,2.224e-05,2.224e-05,2.224e-05
2,127.55,0.97766,5.97372,0.94963,0.01321,0.11191,0.01591,0.01226,0.91961,10.8568,0.86694,4.97097e-05,4.97097e-05,4.97097e-05
3,191.78,0.90801,4.71183,0.92512,0.32682,0.18329,0.13744,0.09647,1.19963,13.4647,0.91832,7.68125e-05,7.68125e-05,7.68125e-05
4,255.818,0.92332,3.47304,0.90321,0.24472,0.3243,0.20741,0.14329,1.28015,7.56174,0.94451,0.000103548,0.000103548,0.000103548
5,320.674,0.8834,3.13355,0.90729,0.3382,0.36251,0.30838,0.20561,1.31656,4.52336,0.96237,0.000129917,0.000129917,0.000129917
6,382.069,0.90014,2.72004,0.9186,0.42096,0.39693,0.43475,0.29535,1.30752,3.51718,0.96353,0.000155919,0.000155919,0.000155919
7,440.6,0.92379,2.38979,0.94256,0.51298,0.52596,0.53944,0.37854,1.2394,2.68692,0.96314,0.000181554,0.000181554,0.000181554
8,498.385,0.91697,2.24826,0.93834,0.64714,0.5381,0.57152,0.41129,1.18355,2.47872,0.94685,0.000206822,0.000206822,0.000206822
9,555.901,0.85721,1.97154,0.92085,0.64978,0.69615,0.78837,0.53271,1.26947,2.23067,0.96139,0.000231723,0.000231723,0.000231723
10,614.671,0.86564,1.66948,0.90056,0.75074,0.68621,0.80932,0.60142,1.04996,1.86749,0.91353,0.000256257,0.000256257,0.000256257
11,668.955,0.79549,1.67263,0.89955,0.69868,0.76304,0.83078,0.58501,1.15835,1.77301,0.94077,0.000280424,0.000280424,0.000280424
12,722.395,0.83364,1.51971,0.90351,0.77897,0.82004,0.87945,0.64824,1.05092,1.59991,0.92023,0.000304224,0.000304224,0.000304224
13,775.566,0.82737,1.44071,0.88929,0.73168,0.87316,0.90043,0.65332,1.1153,1.57577,0.9318,0.000327657,0.000327657,0.000327657
14,828.186,0.81633,1.30536,0.89395,0.83867,0.86928,0.91326,0.65865,1.155,1.33033,0.934,0.000350724,0.000350724,0.000350724
15,880.411,0.83394,1.28319,0.88849,0.87178,0.86605,0.92414,0.7325,0.8875,1.16294,0.88213,0.000373423,0.000373423,0.000373423
16,932.572,0.83568,1.16433,0.90454,0.88222,0.8952,0.925,0.73997,0.86898,1.10428,0.88598,0.000395755,0.000395755,0.000395755
17,984.706,0.81813,1.02444,0.8833,0.88962,0.95281,0.96144,0.71141,1.05432,1.09063,0.93839,0.000417721,0.000417721,0.000417721
18,1037.38,0.78658,1.03138,0.87902,0.90206,0.95187,0.96841,0.71622,1.01411,1.04697,0.93127,0.000439319,0.000439319,0.000439319
19,1089.87,0.84459,0.9413,0.90119,0.90376,0.95886,0.97054,0.72044,1.00286,0.98958,0.9313,0.00046055,0.00046055,0.00046055
20,1141.63,0.78643,0.98322,0.91246,0.9003,0.96447,0.98512,0.78437,0.83924,0.87659,0.88808,0.000481415,0.000481415,0.000481415
21,1193.94,0.81584,0.97158,0.9012,0.91518,0.97089,0.98829,0.7787,0.88667,0.88264,0.90153,0.000482608,0.000482608,0.000482608
22,1245.74,0.82369,0.89144,0.92298,0.96478,0.98002,0.99206,0.77628,0.9055,0.81866,0.90434,0.000478938,0.000478938,0.000478938
23,1298.64,0.80904,0.86214,0.90952,0.93292,0.95275,0.99206,0.77048,0.90101,0.82451,0.90121,0.000475269,0.000475269,0.000475269
24,1350.76,0.81175,0.92191,0.90661,0.96707,0.97562,0.9871,0.77668,0.87532,0.75426,0.89445,0.000471599,0.000471599,0.000471599
25,1404.33,0.79432,0.86947,0.91656,0.93123,0.97541,0.9881,0.79248,0.82532,0.75774,0.88011,0.00046793,0.00046793,0.00046793
26,1465.27,0.74495,0.80531,0.88806,0.94494,0.95881,0.99103,0.78119,0.88124,0.76933,0.88487,0.00046426,0.00046426,0.00046426
27,1526.55,0.79156,0.80221,0.89636,0.9736,0.97844,0.99111,0.76594,0.92857,0.71779,0.89817,0.00046059,0.00046059,0.00046059
28,1588.1,0.70193,0.7532,0.86141,0.9602,0.98483,0.99206,0.79496,0.8241,0.70714,0.87658,0.000456921,0.000456921,0.000456921
29,1648.42,0.74659,0.77913,0.895,0.96746,0.98681,0.99206,0.77026,0.91042,0.68125,0.90051,0.000453251,0.000453251,0.000453251
30,1710.71,0.76471,0.75028,0.8992,0.94966,0.98268,0.99302,0.78694,0.84906,0.67217,0.89504,0.000449582,0.000449582,0.000449582
31,1774.76,0.69585,0.68795,0.87433,0.96016,0.97072,0.98559,0.7599,0.92113,0.71626,0.91389,0.000445912,0.000445912,0.000445912
32,1836.81,0.70399,0.69037,0.86243,0.97144,0.98048,0.98791,0.83201,0.73081,0.67976,0.86465,0.000442242,0.000442242,0.000442242
33,1899.52,0.69923,0.66084,0.87458,0.97613,0.9829,0.99405,0.83668,0.70466,0.65616,0.8588,0.000438573,0.000438573,0.000438573
34,1962.32,0.66242,0.65281,0.88975,0.98221,0.97372,0.99405,0.77499,0.85126,0.70729,0.88364,0.000434903,0.000434903,0.000434903
35,2024.83,0.73683,0.67567,0.88412,0.96922,0.99333,0.99206,0.80089,0.77887,0.67746,0.86715,0.000431234,0.000431234,0.000431234
36,2087.29,0.68745,0.61417,0.86154,0.9419,0.9706,0.99405,0.84796,0.65009,0.59559,0.84652,0.000427564,0.000427564,0.000427564
37,2149.71,0.65023,0.58782,0.84986,0.94035,0.97561,0.99405,0.7618,0.94842,0.65945,0.90669,0.000423894,0.000423894,0.000423894
38,2211.87,0.69257,0.58575,0.87448,0.92794,0.9771,0.99302,0.73553,1.05761,0.67296,0.93641,0.000420225,0.000420225,0.000420225
39,2272.63,0.68384,0.57085,0.86088,0.94628,0.97557,0.995,0.77931,0.88335,0.60434,0.89924,0.000416555,0.000416555,0.000416555
40,2330.79,0.67244,0.58669,0.88227,0.96301,0.98915,0.99405,0.8376,0.68168,0.52687,0.86059,0.000412886,0.000412886,0.000412886
41,2391.59,0.67047,0.59085,0.8511,0.9496,0.98638,0.995,0.82284,0.74429,0.55175,0.8694,0.000409216,0.000409216,0.000409216
