epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,996.532,0.47002,1.1651,0.79341,0.91641,0.95565,0.98671,0.9146,0.4198,1.09179,0.79085,0.000401877,0.000401877,0.000401877
44,1019.07,0.47901,1.16074,0.81674,0.92207,0.96381,0.99092,0.93017,0.41422,1.05804,0.79192,0.000398207,0.000398207,0.000398207
45,1041.95,0.43487,1.04889,0.79859,0.95311,0.94217,0.99405,0.94249,0.39143,1.06,0.7898,0.000394538,0.000394538,0.000394538
46,1064.66,0.45699,1.03104,0.80897,0.94061,0.97701,0.99405,0.9324,0.39421,1.05221,0.79073,0.000390868,0.000390868,0.000390868
47,1087.26,0.46411,1.13147,0.81119,0.93524,0.98589,0.9934,0.92858,0.39944,1.05758,0.7912,0.000387198,0.000387198,0.000387198
48,1110,0.46381,1.06869,0.78852,0.93567,0.98682,0.99405,0.90951,0.46212,1.05622,0.79668,0.000383529,0.000383529,0.000383529
49,1132.69,0.46882,1.018,0.81805,0.95208,0.96613,0.995,0.91026,0.43904,1.04259,0.79526,0.000379859,0.000379859,0.000379859
50,1155.33,0.46532,1.04433,0.79786,0.91647,0.97437,0.99212,0.93194,0.39797,1.01789,0.79008,0.00037619,0.00037619,0.00037619
51,1177.99,0.44082,1.02553,0.81016,0.89474,0.97899,0.99143,0.93958,0.39064,1.00881,0.78911,0.00037252,0.00037252,0.00037252
52,1200.76,0.43827,0.95372,0.80544,0.93243,0.98102,0.9915,0.92281,0.41344,0.96751,0.78916,0.00036885,0.00036885,0.00036885
53,1223.55,0.45084,0.97123,0.77931,0.93348,0.98944,0.99266,0.92442,0.41889,0.95288,0.78992,0.000365181,0.000365181,0.000365181
54,1246.25,0.45952,0.9687,0.79845,0.93946,0.99955,0.99405,0.93539,0.39316,0.9359,0.78847,0.000361511,0.000361511,0.000361511
55,1268.83,0.44508,0.91899,0.78925,0.938,0.99524,0.99405,0.95064,0.367,0.92965,0.7877,0.000357842,0.000357842,0.000357842
56,1291.68,0.44031,0.97732,0.81075,0.95132,0.98853,0.995,0.93491,0.3935,0.9223,0.79074,0.000354172,0.000354172,0.000354172
57,1314.35,0.43995,0.98722,0.80641,0.95982,0.9848,0.995,0.933,0.40504,0.91769,0.79143,0.000350502,0.000350502,0.000350502
58,1337.03,0.45003,0.92578,0.80143,0.96684,0.98563,0.995,0.93725,0.39381,0.9111,0.79053,0.000346833,0.000346833,0.000346833
59,1359.78,0.46044,0.96319,0.80205,0.96982,0.98987,0.995,0.93419,0.37504,0.91009,0.78798,0.000343163,0.000343163,0.000343163
60,1382.51,0.4717,0.95399,0.81259,0.97859,0.98292,0.995,0.93863,0.36823,0.8851,0.78694,0.000339494,0.000339494,0.000339494
61,1405.36,0.44106,0.95703,0.80114,0.9693,0.99631,0.995,0.94141,0.38153,0.86602,0.78766,0.000335824,0.000335824,0.000335824
62,1428.05,0.4109,0.89779,0.78704,0.9773,0.99628,0.995,0.93359,0.40565,0.8529,0.78989,0.000332154,0.000332154,0.000332154
63,1450.71,0.39827,0.88458,0.78998,0.98014,0.99661,0.995,0.9306,0.40951,0.84559,0.79097,0.000328485,0.000328485,0.000328485
64,1473.45,0.41729,0.89277,0.78884,0.98697,0.99392,0.995,0.94722,0.35866,0.81026,0.78825,0.000324815,0.000324815,0.000324815
65,1496.14,0.391,0.82995,0.78573,0.98691,0.99619,0.995,0.95356,0.33601,0.79542,0.78604,0.000321146,0.000321146,0.000321146
66,1518.83,0.41599,0.85678,0.78618,0.98731,0.99702,0.995,0.95603,0.34027,0.78703,0.7864,0.000317476,0.000317476,0.000317476
67,1541.56,0.37873,0.79539,0.8069,0.98426,0.99415,0.995,0.94444,0.36896,0.79709,0.78753,0.000313806,0.000313806,0.000313806
68,1564.31,0.4167,0.88373,0.80179,0.98594,0.98735,0.995,0.94222,0.37175,0.79764,0.78776,0.000310137,0.000310137,0.000310137
69,1587.05,0.39222,0.84975,0.81925,0.98154,0.98888,0.995,0.95548,0.33787,0.79831,0.78513,0.000306467,0.000306467,0.000306467
70,1609.73,0.39891,0.86116,0.7927,0.97808,0.98937,0.995,0.9545,0.33242,0.81048,0.78432,0.000302798,0.000302798,0.000302798
71,1632.51,0.41422,0.85849,0.79946,0.97943,0.99594,0.995,0.95379,0.33263,0.79515,0.78395,0.000299128,0.000299128,0.000299128
72,1655.29,0.3983,0.92012,0.80079,0.98764,0.99466,0.995,0.93726,0.38271,0.79256,0.7867,0.000295458,0.000295458,0.000295458
73,1678.35,0.41965,0.81779,0.79074,0.98552,0.99841,0.995,0.94173,0.35845,0.78078,0.78455,0.000291789,0.000291789,0.000291789
74,1701.13,0.37708,0.75846,0.77799,0.98612,0.99866,0.995,0.95752,0.33788,0.76301,0.78322,0.000288119,0.000288119,0.000288119
75,1724.09,0.36276,0.78868,0.80761,0.98083,0.99884,0.995,0.96036,0.32849,0.75525,0.78192,0.00028445,0.00028445,0.00028445
76,1747.42,0.36213,0.73734,0.78709,0.97354,0.99968,0.99405,0.95772,0.33382,0.7605,0.78141,0.00028078,0.00028078,0.00028078
77,1770.15,0.37689,0.82094,0.79966,0.97519,0.99862,0.99405,0.95742,0.3197,0.76055,0.78119,0.00027711,0.00027711,0.00027711
78,1793.07,0.37633,0.78619,0.80709,0.97926,0.9986,0.99405,0.95934,0.31792,0.7573,0.78069,0.000273441,0.000273441,0.000273441
79,1815.77,0.45911,0.87645,0.81056,0.98055,0.99348,0.99405,0.95504,0.33413,0.75682,0.7818,0.000269771,0.000269771,0.000269771
80,1838.46,0.39742,0.82326,0.80158,0.99118,0.9932,0.995,0.95794,0.3302,0.73084,0.7829,0.000266102,0.000266102,0.000266102
81,1861.09,0.39804,0.78949,0.79561,0.99132,0.99199,0.995,0.94548,0.34984,0.73652,0.7834,0.000262432,0.000262432,0.000262432
82,1883.81,0.40585,0.76763,0.79908,0.9909,0.99195,0.995,0.95242,0.34751,0.73431,0.78336,0.000258762,0.000258762,0.000258762
83,1906.54,0.3868,0.77066,0.8052,0.98933,0.99354,0.995,0.95499,0.32877,0.73721,0.78217,0.000255093,0.000255093,0.000255093
84,1929.25,0.3835,0.74893,0.79852,0.98828,1,0.995,0.95485,0.32228,0.73511,0.78148,0.000251423,0.000251423,0.000251423
85,1952.02,0.35392,0.78453,0.80394,0.98708,1,0.995,0.95745,0.33121,0.73874,0.78166,0.000247754,0.000247754,0.000247754
86,1974.61,0.39106,0.82026,0.78725,0.98532,1,0.995,0.94839,0.34467,0.74897,0.78237,0.000244084,0.000244084,0.000244084
87,1997.28,0.37673,0.77976,0.78334,0.98606,0.99926,0.995,0.95229,0.34024,0.7377,0.7821,0.000240414,0.000240414,0.000240414
88,2019.97,0.35278,0.74457,0.79063,0.98673,0.99919,0.995,0.96358,0.31009,0.70585,0.78026,0.000236745,0.000236745,0.000236745
89,2042.64,0.34597,0.72163,0.803,0.98635,0.99722,0.995,0.96923,0.30861,0.70314,0.77969,0.000233075,0.000233075,0.000233075
90,2065.41,0.3683,0.71914,0.79348,0.98431,0.99475,0.995,0.96697,0.31377,0.69697,0.77975,0.000229406,0.000229406,0.000229406
91,2088.08,0.36489,0.7149,0.79903,0.9869,0.98918,0.995,0.96213,0.31764,0.69618,0.77991,0.000225736,0.000225736,0.000225736
92,2110.84,0.35335,0.70974,0.78155,0.9879,0.98989,0.995,0.96966,0.30139,0.69702,0.77909,0.000222066,0.000222066,0.000222066
93,2133.49,0.33379,0.7686,0.8045,0.98545,0.99495,0.995,0.97038,0.30262,0.69719,0.77928,0.000218397,0.000218397,0.000218397
94,2156.14,0.36409,0.73536,0.7897,0.987,0.99748,0.995,0.96181,0.32062,0.69818,0.78103,0.000214727,0.000214727,0.000214727
95,2178.75,0.35091,0.69856,0.79081,0.98755,0.99898,0.995,0.9586,0.32687,0.69899,0.78204,0.000211058,0.000211058,0.000211058
96,2201.43,0.36821,0.73249,0.81576,0.98725,0.99961,0.995,0.96302,0.31289,0.6944,0.78128,0.000207388,0.000207388,0.000207388
97,2224.13,0.37705,0.75335,0.79719,0.98649,1,0.995,0.96423,0.30963,0.69155,0.78103,0.000203718,0.000203718,0.000203718
98,2246.77,0.35391,0.70914,0.7939,0.98704,1,0.995,0.96711,0.29612,0.68935,0.77961,0.000200049,0.000200049,0.000200049
99,2269.57,0.35495,0.73517,0.78794,0.98692,1,0.995,0.97107,0.28636,0.68071,0.77885,0.000196379,0.000196379,0.000196379
100,2292.37,0.32714,0.69283,0.79839,0.98693,0.99958,0.995,0.96081,0.31097,0.67887,0.78033,0.00019271,0.00019271,0.00019271
101,2314.29,0.34023,0.70223,0.78356,0.98485,0.99926,0.995,0.95935,0.30965,0.67484,0.78041,0.00018904,0.00018904,0.00018904
102,2336.25,0.35771,0.68777,0.78459,0.985,0.99884,0.995,0.96381,0.29431,0.66821,0.77901,0.00018537,0.00018537,0.00018537
103,2358.21,0.34328,0.67233,0.787,0.98551,0.99902,0.995,0.97137,0.28813,0.65822,0.77858,0.000181701,0.000181701,0.000181701
104,2380.44,0.36361,0.66235,0.77907,0.98923,0.99827,0.995,0.97277,0.28354,0.65312,0.77799,0.000178031,0.000178031,0.000178031
105,2402.41,0.32733,0.65144,0.79055,0.98852,0.99937,0.995,0.97429,0.27714,0.651,0.77782,0.000174362,0.000174362,0.000174362
106,2424.32,0.34249,0.68888,0.77062,0.98851,0.99956,0.995,0.97409,0.28655,0.65396,0.77835,0.000170692,0.000170692,0.000170692
