epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6786,1.22479,8.62781,1.06969,6e-05,0.02601,6e-05,4e-05,0.93928,8.1284,1.01334,3.336e-05,3.336e-05,3.336e-05
2,178.75,1.15276,5.36752,0.96665,0.03549,0.16116,0.05099,0.03777,1.41786,16.1885,1.09604,7.1803e-05,7.1803e-05,7.1803e-05
3,266.362,0.97748,4.04689,0.94718,0.1727,0.19407,0.14275,0.09964,1.55901,7.08921,1.13479,0.000109732,0.000109732,0.000109732
4,351.609,0.92853,3.35466,0.9331,0.22323,0.28136,0.22717,0.15454,1.44451,4.0054,1.07843,0.000147148,0.000147148,0.000147148
5,432.939,0.93016,2.82611,0.91696,0.30882,0.49704,0.40306,0.28862,1.29905,3.66023,1.05717,0.000184049,0.000184049,0.000184049
6,514.167,1.14052,2.818,1.04318,0.56768,0.55279,0.5636,0.39136,1.25842,3.03828,1.04134,0.000220437,0.000220437,0.000220437
7,589.495,0.99455,2.11163,0.93176,0.73897,0.62582,0.77248,0.51819,1.27483,2.28751,1.04944,0.000256312,0.000256312,0.000256312
8,665.497,0.95373,1.77974,0.92014,0.78068,0.75995,0.8292,0.58165,1.2371,2.04929,1.02049,0.000291672,0.000291672,0.000291672
9,743.423,0.89335,1.65165,0.92753,0.73675,0.75712,0.82699,0.58025,1.17707,1.93905,1.00098,0.000326519,0.000326519,0.000326519
10,820.826,0.91728,1.41754,0.91711,0.80793,0.75844,0.85948,0.61715,1.10002,1.69455,0.99448,0.000360852,0.000360852,0.000360852
11,897.068,0.88657,1.22448,0.93212,0.83597,0.86442,0.91866,0.68939,1.08013,1.69519,0.9764,0.000394671,0.000394671,0.000394671
12,976.65,0.82143,1.2334,0.91072,0.87055,0.88808,0.94402,0.70782,0.99182,1.20901,0.94952,0.000427977,0.000427977,0.000427977
13,1051.53,0.89795,1.17869,0.95139,0.88681,0.89133,0.93698,0.6951,0.99061,1.26087,0.94046,0.000460768,0.000460768,0.000460768
14,1126.52,0.83057,1.19303,0.93805,0.89311,0.87017,0.93252,0.70097,0.97182,1.2362,0.94186,0.000493046,0.000493046,0.000493046
15,1201.46,0.8326,1.05639,0.94572,0.90417,0.88962,0.95818,0.69782,1.03458,1.17844,0.97958,0.000504626,0.000504626,0.000504626
16,1277.3,0.9883,1.24597,0.97047,0.93402,0.89411,0.96986,0.69997,1.02783,1.07885,0.96936,0.000500956,0.000500956,0.000500956
17,1351.56,0.81034,0.97489,0.89817,0.92604,0.93663,0.97387,0.69562,0.98588,1.03626,0.95185,0.000497286,0.000497286,0.000497286
18,1425.74,0.87824,1.03354,1.0223,0.92212,0.9551,0.96676,0.72466,0.90056,0.90302,0.93187,0.000493617,0.000493617,0.000493617
19,1500.14,0.89947,0.86341,0.95164,0.89275,0.91605,0.96979,0.68143,1.05844,0.95489,0.9968,0.000489947,0.000489947,0.000489947
20,1574.67,0.86052,0.83049,0.91469,0.93372,0.96525,0.9882,0.75611,0.86686,0.88159,0.91868,0.000486278,0.000486278,0.000486278
21,1648.29,0.7405,0.72937,0.90854,0.95877,0.96868,0.98896,0.76278,0.81749,0.7862,0.9051,0.000482608,0.000482608,0.000482608
22,1722.47,0.80976,0.81372,0.91594,0.92189,0.96085,0.9821,0.79425,0.68277,0.79317,0.87049,0.000478938,0.000478938,0.000478938
23,1797.91,0.762,0.7548,0.92974,0.90206,0.94804,0.97881,0.7262,0.90226,0.90504,0.95459,0.000475269,0.000475269,0.000475269
24,1870.32,0.82775,0.78384,0.91517,0.89037,0.93687,0.97463,0.78143,0.74266,0.81276,0.89087,0.000471599,0.000471599,0.000471599
25,1943.98,0.79604,0.72301,0.90169,0.89619,0.94808,0.97816,0.76399,0.84534,0.8596,0.93407,0.00046793,0.00046793,0.00046793
26,2016.8,0.73366,0.68626,0.88481,0.95309,0.96582,0.9868,0.7517,0.8336,0.71931,0.91345,0.00046426,0.00046426,0.00046426
27,2088.89,0.78726,0.73368,0.90255,0.96705,0.95671,0.99062,0.79276,0.74606,0.71681,0.88046,0.00046059,0.00046059,0.00046059
28,2160.8,0.77177,0.64336,0.92821,0.94958,0.97064,0.99241,0.75581,0.83789,0.67119,0.91657,0.000456921,0.000456921,0.000456921
29,2232.61,0.81917,0.61399,0.93049,0.97015,0.96199,0.99178,0.7787,0.77823,0.68732,0.90252,0.000453251,0.000453251,0.000453251
30,2305.23,0.76224,0.62945,0.91231,0.94593,0.97937,0.99006,0.81183,0.68441,0.68681,0.8764,0.000449582,0.000449582,0.000449582
